"id","messages","category","answer_type","domain","language","source","source_id","generator","generation_prompt_version","reviewer","quality_status","rejection_reason","bareness_check_passed","dedup_cluster_id","contamination_checked","contamination_flag","license","split","created_at","notes"
"terse_summary__001","[{""role"": ""user"", ""content"": ""Başlık: Açıklama\n\nMetin: Belediye Başkanı Cem Öztürk, Erzurum'da düzenlenen basın toplantısında toplu taşıma ücretleri hakkında konuştu. Cem Öztürk, iki hafta içinde adım atılacağını vurguladı.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Erzurum'da yapılan açıklamada Belediye Başkanı Cem Öztürk, iki hafta içinde toplu taşıma ücretleri konusunda adım atılacağını belirtti.""}]","terse_summary","","travel","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__002","[{""role"": ""user"", ""content"": ""Başlık: Araştırma bulgusu\n\nMetin: Yapılan yeni bir araştırmaya göre düzenli uyku ile enerji düzeyinin yükselmesi arasında bağlantı bulundu. Çalışma 300 katılımcı üzerinde bir yıl boyunca yürütüldü.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Araştırmacılar, bir yıl süren çalışmada düzenli uyku ile enerji düzeyinin yükselmesi arasında bağlantı bulduklarını duyurdu.""}]","terse_summary","","health","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__003","[{""role"": ""user"", ""content"": ""Başlık: Ödül haberi\n\nMetin: Selin Aksoy, sürdürülebilir üretim alanındaki üç yıllık çalışmalarıyla İş Dünyası Başarı Ödülü ödülüne layık görüldü. Ödül töreni Malatya'da gerçekleşti.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Selin Aksoy, üç yıldır sürdürdüğü sürdürülebilir üretim çalışmalarıyla Malatya'da düzenlenen törende İş Dünyası Başarı Ödülü ödülünü aldı.""}]","terse_summary","","business","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__004","[{""role"": ""user"", ""content"": ""Başlık: Yerel haber\n\nMetin: Kaan Polat (29), Kocaeli'de yedi yıldır sürdürdüğü seramik atölyeciliği sayesinde ulusal bir yarışmaya katıldı. Komşuları, Kaan Polat'ın azmini örnek gösteriyor.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Kaan Polat isimli 29 yaşındaki sakin, yedi yıllık seramik atölyeciliği deneyimiyle ulusal bir yarışmaya katıldı.""}]","terse_summary","","daily_life","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__005","[{""role"": ""user"", ""content"": ""Başlık: Belediye projesi\n\nMetin: İl sağlık müdürlüğü, Balıkesir'de sekiz aylık müze genişletme projesini başlattı. Projenin amacı tarihi dokuyu korumak. Çalışma için ayrılan bütçe 3 milyon lira olarak açıklandı.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""İl sağlık müdürlüğü, Balıkesir'de 3 milyon lira bütçeyle başlattığı sekiz aylık müze genişletme projesiyle tarihi dokuyu korumak.""}]","terse_summary","","history","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__006","[{""role"": ""user"", ""content"": ""Başlık: Belediye projesi\n\nMetin: Yerel yönetim, Isparta'da iki yıllık okul renovasyon projesi projesini başlattı. Projenin amacı eğitim kalitesini artırmak. Çalışma için ayrılan bütçe 3 milyon lira olarak açıklandı.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Isparta'da başlatılan iki yıllık okul renovasyon projesi projesi, 3 milyon lira maliyetle eğitim kalitesini artırmak amacıyla yürütülüyor.""}]","terse_summary","","education","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__007","[{""role"": ""user"", ""content"": ""Başlık: Araştırma bulgusu\n\nMetin: Yapılan yeni bir araştırmaya göre müzikle çalışma ile hafıza performansının artması arasında bağlantı bulundu. Çalışma 300 katılımcı üzerinde altı ay boyunca yürütüldü.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Araştırmacılar, altı ay süren çalışmada müzikle çalışma ile hafıza performansının artması arasında bağlantı bulduklarını duyurdu.""}]","terse_summary","","science","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__008","[{""role"": ""user"", ""content"": ""Başlık: Ödül haberi\n\nMetin: Onur Şahin, yenilenebilir enerji alanındaki üç yıllık çalışmalarıyla Bilim Ödülü ödülüne layık görüldü. Ödül töreni Kayseri'de gerçekleşti.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Onur Şahin, yenilenebilir enerji alanındaki üç yıllık çalışmalarıyla Bilim Ödülü ödülünü kazandı ve ödülü Kayseri'de düzenlenen törende aldı.""}]","terse_summary","","science","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__009","[{""role"": ""user"", ""content"": ""Başlık: Belediye projesi\n\nMetin: İl sağlık müdürlüğü, Antalya'da dört haftalık okul renovasyon projesi projesini başlattı. Projenin amacı eğitim kalitesini artırmak. Çalışma için ayrılan bütçe 3 milyon lira olarak açıklandı.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""3 milyon lira bütçeli dört haftalık okul renovasyon projesi projesi Antalya'da İl sağlık müdürlüğü tarafından eğitim kalitesini artırmak amacıyla başlatıldı.""}]","terse_summary","","education","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
"terse_summary__010","[{""role"": ""user"", ""content"": ""Başlık: Maç sonucu\n\nMetin: Akınspor, Rize'de oynanan deplasman maçında Kuzey Birlik'i 4-2 yendi. Maçın 67. dakikasında atılan gol sonucu belirledi. Bu galibiyetle Akınspor, puan durumunda dördüncü sıraya yükseldi.\n\nÖzet:""}, {""role"": ""assistant"", ""content"": ""Rize'de oynanan maçta Akınspor, 67. dakikada bulduğu golle Kuzey Birlik karşısında 4-2 galip geldi ve dördüncü sıraya çıktı.""}]","terse_summary","","sports","tr","synthetic","","claude-sonnet-5","v4","","needs_review","","","","pending","","project-internal-draft","","2026-09-15T00:00:00Z","v4: fixed faithfulness bugs (invented facts sampled independently of the article), coupled domain label to genre, dropped instruction-prefix to match eval prompt shape"
