id,status,assistant_content
open_ended_counterexample__001,unchanged,
open_ended_counterexample__002,rewritten,"Sorun akşamları enerjinin bitmesi olduğu için her akşam tarif seçmek, yükü tam da en yorgun olduğun ana bırakır; ne pişireceğine karar vermek de yemek yapmak kadar yorar. Hafta sonu bir-iki saatlik hazırlık (pilav, haşlanmış bakliyat, doğranmış sebze, marine edilmiş et) akşam işini 15 dakikalık bir birleştirmeye indirir. Hafta sonun da yoğunsa ikisini birleştir: yalnızca 2-3 temel malzeme hazırla, akşamları bunları kullanan 3-4 sabit hızlı tariften birini seç."
open_ended_counterexample__003,rewritten,"İlk hafta yalnızca üç kolay ana yemek seç ve alışverişi bunların ortak malzemelerine göre yap; her birini iki porsiyon pişirip ertesi akşamı da kapat. Hafta sonunda hangi akşamın aksadığına bak. İkinci hafta o günler için dondurucuya bir yedek porsiyon koy ve iyi giden yemekleri tekrarla, yeni tarif ekleme. İki haftanın sonunda amaç çeşitlilik değil, yorgun bir akşamda bile işleyen bir düzen olmalı."
open_ended_counterexample__004,rewritten,"Önce malzemelerin neden bittiğini ayır: miktarı mı az hesaplıyorsun, yoksa hazırladıkların planlanmamış öğünlerde ya da atıştırmalık olarak mı tükeniyor? Bir hafta boyunca neyin hangi gün bittiğini not et. Miktar sorunuysa hazırlığı ikiye böl: pazar günü asıl hazırlık, çarşamba akşamı kısa bir takviye. Plan dışı tükeniyorsa hazırladıklarını öğün öğün ayrı kaplara porsiyonla; böylece neyin hangi akşama ait olduğu belli olur."
open_ended_counterexample__005,rewritten,"En sık aradığın beş eşyayı belirle ve her birine, en çok kullandığın yerin yakınında sabit bir yer ver: anahtar kapı girişine, şarj kablosu yatağın yanına. Bu yer görünür ve tek hareketle ulaşılır olsun; kapaklı kutu ya da çekmece dibi, eşyayı oraya koymayı zorlaştırır. Bir eşya iki hafta boyunca yine de hep aynı başka yerde çıkıyorsa, doğru yer orasıdır; yuvayı oraya taşı."
open_ended_counterexample__006,rewritten,"Eşyaları aramamızın nedeni çoğu zaman dağınıklık değil, bırakırken karar vermemizdir: “şimdilik buraya koyayım” dediğin an eşyanın yeri hafızandan çıkar. Sabit yuva bu kararı ortadan kaldırır, eşyayı bırakmak da bulmak da otomatikleşir. Yuvanın eşyanın kullanıldığı yere yakın olması da önemli, çünkü uzaktaki bir yere eşya pek geri konmaz."
open_ended_counterexample__007,rewritten,"Önce tek bir sorunlu alanla başla, örneğin kapı girişi ya da en çok eşya biriken masa. İlk hafta orada en sık kullandığın eşyalara sabit yer ver, gerisine dokunma. Bu alan birkaç gün düzenli kalıyorsa bir sonrakine geç. Yeni kutu ve düzenleyici almayı en sona bırak, çünkü neye ihtiyacın olduğunu ancak düzeni birkaç alanda denedikten sonra bilirsin."
open_ended_counterexample__008,rewritten,"Anahtar ve kulaklığın hangi odalarda çıktığına birkaç gün dikkat et; çoğu zaman bir örüntü vardır. Hep aynı yerde çıkıyorlarsa belirlediğin yer yanlıştır: yuvayı eşyayı gerçekten kullandığın ya da eve girip çıkarken geçtiğin noktaya taşı. Her seferinde farklı yerde çıkıyorsa sorun yuvanın yerinde değil, eve giriş alışkanlığındadır; kapının yanına bir kase koy ve eve girer girmez ceplerini oraya boşalt."
open_ended_counterexample__009,rewritten,"Bir hafta boyunca sabahları hangi adımın beklediğinden uzun sürdüğünü not et; gecikme çoğu zaman tek bir yerde birikir. Kıyafet seçmek, çanta hazırlamak ya da anahtar aramak gibi işleri akşama al. Hatırlatıcıyı uyanma saatine değil çıkış saatine göre kur: çıkmadan on dakika önce “ayakkabılarını giy” uyarısı, zamanın nasıl geçtiğini fark etmeni sağlar."
open_ended_counterexample__010,rewritten,"Sabah gecikmesinin asıl nedeni genellikle geç kalkmak değil, işlerin süresini hafife almaktır: her küçük iş “iki dakika” gibi gelir ama toplamı yarım saati bulur. Üstelik sabah verilen her karar (ne giyeceğim, neyi alacağım) hem zaman alır hem dikkati dağıtır. Akşamdan hazırlık bu kararları sabahtan çıkardığı, çıkış hatırlatıcısı da zamanı görünür kıldığı için işe yarar."
open_ended_counterexample__011,rewritten,"Hedefin hazırlanma süresini kısaltmaksa erken alarm bunu kısaltmaz, sadece daha erken başlatır; çoğu insan kazandığı zamanı da oyalanarak harcar. Akşamdan kıyafet ve çantayı hazırlamak ise sabah yapılacak işi ve verilecek kararları gerçekten azaltır. Önce akşam hazırlığını dene; buna rağmen geç kalıyorsan sorun süre değil başlama zamanıdır, o zaman alarmı öne çek."
open_ended_counterexample__012,rewritten,"Erken kalktığın hâlde geç kalıyorsan sorun zaman değil, zamanın farkına varmamak. Önce bir hafta boyunca tam olarak nerede oyalandığını not et; telefon, uzun kahvaltı ya da hazır olduktan sonraki “biraz daha oturayım” anı genelde başı çeker. Sonra oyalandığın şeyi hazırlık bitene kadar erteleyen bir kural koy: önce giyin, sonra telefon. Hâlâ geç kalıyorsan çıkıştan 15 ve 5 dakika önce iki hatırlatıcı kur."
open_ended_counterexample__013,rewritten,"İşe çalışma eşyalarını tek bir sepette toplayarak başla; böylece iş evin her yerine yayılmaz. Mümkünse masayı, çalışırken dinlenme köşesini görmeyeceğin şekilde yerleştir. İş bitince bilgisayarı ve sepeti kaldır. Alan küçük olsa bile bu görünür geçiş, zihnine işin bittiğini hissettirir."
open_ended_counterexample__014,rewritten,"Asıl güçlük, zihnin mekânı orada yaptığın işle ilişkilendirmesidir: aynı koltukta hem çalışıp hem dinlenince, orada ikisini de tam yapamazsın. Ayrı bir oda olmasa da bu ilişkiyi işaretlerle kurabilirsin: çalışırken belirli bir masa, sandalye ya da lamba kullan. İş bitince bilgisayarı ve iş eşyalarını gözden kaldır, çünkü iş gözünün önünde durdukça zihin de onu kapatmakta zorlanır."
open_ended_counterexample__015,rewritten,"Yeni masa ancak asıl eksik çalışacak yüzeyse işe yarar; küçük bir evde sorun çoğu zaman yüzey değil, iki alanın birbirine karışmasıdır ve yeni masa alanı daha da daraltabilir. Önce mevcut düzeni dene: masayı dinlenme köşesine arkası dönük yerleştir, çalışma alanına ayrı bir lamba koy, iş eşyalarını bir sepette topla. Bir-iki hafta sonra hâlâ düzgün çalışabileceğin bir yer yoksa katlanır ya da duvara monte bir masa düşün."
