id,messages,category,answer_type,domain,language,source,source_id,generator,generation_prompt_version,reviewer,quality_status,rejection_reason,bareness_check_passed,dedup_cluster_id,contamination_checked,contamination_flag,license,split,created_at,notes
bare_gec__098,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Uçağın kapısı erken kapanınca üç yolcu bir sonraki sefere aktarıldı, karar kimseyi süpriz karşısında bırakmadı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Uçağın kapısı erken kapanınca üç yolcu bir sonraki sefere aktarıldı, karar kimseyi sürprize uğratmadı.""}]",bare_gec,,travel,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass | argilla-v1 review repair
bare_gec__121,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: İkinci denemede sorun tekrarlanmayınca, kimya ekibi renk değişiminin başladığı sıcaklığı yeniden ölçtü; özet rapor a son değişiklikler işlendi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""İkinci denemede sorun tekrarlanmayınca, kimya ekibi renk değişiminin başladığı sıcaklığı yeniden ölçtü; özet rapora son değişiklikler işlendi.""}]",bare_gec,,science,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__184,"[{""role"":""user"",""content"":""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: İlgili kişiler bilgilendirilince, saha biyoloğu yöntemi bağımsız bir örneklem üzerinde sınadı ve Ankara'da ki merkez aynı gün bilgilendirildi.\nDüzeltilmiş hali:""},{""role"":""assistant"",""content"":""İlgili kişiler bilgilendirilince, saha biyoloğu yöntemi bağımsız bir örneklem üzerinde sınadı ve Ankara'daki merkez aynı gün bilgilendirildi.""}]",bare_gec,,science,tr,synthetic,,gpt-5,v2,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_gec__192,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Sabah yapılan kısa kontrolden sonra, klinik görevlisi randevu saatini aileye kısa mesajla bildirdi; görevde ki hata düzeltildi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Sabah yapılan kısa kontrolden sonra, klinik görevlisi randevu saatini aileye kısa mesajla bildirdi; görevdeki hata düzeltildi.""}]",bare_gec,,health,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__207,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Hava yolu temsilcisi kaçırılan uçuş için yeni bir bilet düzenledi; ikinci denemede sorun tekrarlamıyınca işlem özeti oluşturuldu.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Hava yolu temsilcisi kaçırılan uçuş için yeni bir bilet düzenledi; ikinci denemede sorun tekrarlanmayınca işlem özeti oluşturuldu.""}]",bare_gec,,travel,tr,synthetic,,gpt-5,v4,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,; pass2 tail fix | argilla-v1 review repair
bare_gec__259,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Örneğin kütüphane görevlisi geç teslim edilen kitapların kayıtlarını yeniledi; plan yeniden gözden geçirildikten sonra, gelişme günlük kayda işlendi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Örneğin, kütüphane görevlisi geç teslim edilen kitapların kayıtlarını yeniledi; plan yeniden gözden geçirildikten sonra, gelişme günlük kayda işlendi.""}]",bare_gec,,education,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__320,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Onlar haberi bizimle paylaştım; aynı gün yerel tarihçi kitabenin okunabilen satırlarını ayrı ayrı çevirdi; ayrıntılar yeniden incelendiğinde, bilgi, ilgili herkese ulaştırıldı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Onlar haberi bizimle paylaştılar; aynı gün yerel tarihçi kitabenin okunabilen satırlarını ayrı ayrı çevirdi; ayrıntılar yeniden incelendiğinde, bilgi, ilgili herkese ulaştırıldı.""}]",bare_gec,,history,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__355,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Siz ayrıntıları değerlendirdi ve ardından veri analisti ham verideki aykırı değerleri ayrı bir dosyada tuttu; sabah yapılan kısa kontrolden sonra, özet bilgi panoda paylaşıldı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Siz ayrıntıları değerlendirdiniz ve ardından veri analisti ham verideki aykırı değerleri ayrı bir dosyada tuttu; sabah yapılan kısa kontrolden sonra, özet bilgi panoda paylaşıldı.""}]",bare_gec,,science,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__374,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Siz sürecin nasıl işlediğini biliyor; bu sırada arşiv uzmanı yıpranmış mektupları taramadan önce numaraladı; toplantı başlamadan birkaç dakika önce, kayıt, ilgili klasöre taşındı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Siz sürecin nasıl işlediğini biliyorsunuz; bu sırada arşiv uzmanı yıpranmış mektupları taramadan önce numaraladı; toplantı başlamadan birkaç dakika önce, kayıt, ilgili klasöre taşındı.""}]",bare_gec,,history,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__409,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Ne ilk uyarı göz ardı edildi nede son kayıt atlandı; ayrıca ayrıntılar yeniden incelendiğinde, kimya ekibi renk değişiminin başladığı sıcaklığı yeniden ölçtü; gelişme kısa bir raporla özetlendi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Ne ilk uyarı göz ardı edildi ne de son kayıt atlandı; ayrıca ayrıntılar yeniden incelendiğinde, kimya ekibi renk değişiminin başladığı sıcaklığı yeniden ölçtü; gelişme kısa bir raporla özetlendi.""}]",bare_gec,,science,tr,synthetic,,gpt-5,v3,cbark,accepted,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
