id,messages,category,answer_type,domain,language,source,source_id,generator,generation_prompt_version,reviewer,quality_status,rejection_reason,bareness_check_passed,dedup_cluster_id,contamination_checked,contamination_flag,license,split,created_at,notes
bare_qa_span__001,"[{""role"": ""user"", ""content"": ""Kaynak: Kahve dükkanını açan esnaf olarak bilinen Ayşe Kaya, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Kahve dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Kahve dükkanını Ayşe Kaya açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__002,"[{""role"": ""user"", ""content"": ""Kaynak: Mehmet Sarı, bakkal dükkanını açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Bakkal dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Bakkal dükkanını Mehmet Sarı açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__003,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Elif Demir, çiçekçi dükkanını açmıştır.\n\nSoru: Çiçekçi dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Çiçekçi dükkanını Elif Demir açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__004,"[{""role"": ""user"", ""content"": ""Kaynak: Tamirhaneyi açan esnaf olarak bilinen Burak Yıldız, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Tamirhaneyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Tamirhaneyi Burak Yıldız açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__005,"[{""role"": ""user"", ""content"": ""Kaynak: Zeynep Aydın, terzi atölyesini açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Terzi atölyesini kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Terzi atölyesini Zeynep Aydın açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__006,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Cem Öztürk, kırtasiye açmıştır.\n\nSoru: Kırtasiyeyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Kırtasiyeyi Cem Öztürk açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,Argilla v3 explicit review repair | final QA source-template repair
bare_qa_span__007,"[{""role"": ""user"", ""content"": ""Kaynak: Pastaneyi açan esnaf olarak bilinen Selin Aksoy, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Pastaneyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Pastaneyi Selin Aksoy açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__008,"[{""role"": ""user"", ""content"": ""Kaynak: Hakan Çelik, berber dükkanını açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Berber dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Berber dükkanını Hakan Çelik açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__009,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Derya Aksu, kuru temizlemeciyi açmıştır.\n\nSoru: Kuru temizlemeciyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Kuru temizlemeciyi Derya Aksu açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__010,"[{""role"": ""user"", ""content"": ""Kaynak: Oyuncakçı dükkanını açan esnaf olarak bilinen Onur Bilgin, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Oyuncakçı dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Oyuncakçı dükkanını Onur Bilgin açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__011,"[{""role"": ""user"", ""content"": ""Kaynak: Gizem Polat, şarküteriyi açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Şarküteriyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Şarküteriyi Gizem Polat açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__012,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Sema Yıldırım, çamaşırhaneyi açmıştır.\n\nSoru: Çamaşırhaneyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Çamaşırhaneyi Sema Yıldırım açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__013,"[{""role"": ""user"", ""content"": ""Kaynak: Oto yıkamayı açan esnaf olarak bilinen Kerem Doğan, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Oto yıkamayı kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Oto yıkamayı Kerem Doğan açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__014,"[{""role"": ""user"", ""content"": ""Kaynak: Nur Şahin, aile işletmesi olan halıcı dükkanını açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Aile işletmesi olan halıcı dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Aile işletmesi olan halıcı dükkanını Nur Şahin açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__015,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Yasemin Kurt, semtin ilk gençlik kulübünü açmıştır.\n\nSoru: Semtin ilk gençlik kulübünü kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Semtin ilk gençlik kulübünü Yasemin Kurt açmıştır.""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__016,"[{""role"": ""user"", ""content"": ""Kaynak: İlk bilgisayar programını yazan yazılımcı olarak bilinen Ada Lovelace, alanında kalıcı bir etki bırakmıştır.\n\nSoru: İlk bilgisayar programını kim yazmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""İlk bilgisayar programını Ada Lovelace yazmıştır.""}]",bare_qa_span,name,technology,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,final temporal-QA template repair | accepted after review-saturation decision | final QA source-template repair
bare_qa_span__017,"[{""role"": ""user"", ""content"": ""Kaynak: Tim Berners-Lee, World Wide Web'i geliştirmiştir ve bu başarısıyla alanında öne çıkan bir mühendis haline gelmiştir.\n\nSoru: World Wide Web'i kim geliştirmiştir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""World Wide Web'i Tim Berners-Lee geliştirmiştir.""}]",bare_qa_span,name,technology,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__018,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Linus Torvalds, Linux çekirdeğini geliştirmiştir.\n\nSoru: Linux çekirdeğini kim geliştirmiştir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Linux çekirdeğini Linus Torvalds geliştirmiştir.""}]",bare_qa_span,name,technology,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,final QA source-template repair
bare_qa_span__019,"[{""role"": ""user"", ""content"": ""Kaynak: İlk derleyiciyi geliştiren bilgisayar bilimci olarak bilinen Grace Hopper, alanında kalıcı bir etki bırakmıştır.\n\nSoru: İlk derleyiciyi kim geliştirmiştir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""İlk derleyiciyi Grace Hopper geliştirmiştir.""}]",bare_qa_span,name,technology,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,final temporal-QA template repair | accepted after review-saturation decision | final QA source-template repair
bare_qa_span__020,"[{""role"": ""user"", ""content"": ""Kaynak: Dennis Ritchie, C programlama dilini geliştirmiştir ve bu başarısıyla alanında öne çıkan bir bilgisayar bilimci haline gelmiştir.\n\nSoru: C programlama dilini kim geliştirmiştir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""C programlama dilini Dennis Ritchie geliştirmiştir.""}]",bare_qa_span,name,technology,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
bare_qa_span__021,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Guido van Rossum, Python dilini geliştirmiştir.\n\nSoru: Python dilini kim geliştirmiştir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Python dilini Guido van Rossum geliştirmiştir.""}]",bare_qa_span,name,technology,tr,synthetic,,claude-sonnet-5,v2,cbark,accepted,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,accepted after review-saturation decision | final QA source-template repair
