task,domain,difficulty,target_count,generated_count,accepted_count,reasoning_trace_default
instruction_following,daily_life,easy,10,0,0,no
instruction_following,daily_life,medium,10,0,0,no
instruction_following,daily_life,hard,10,0,0,no
instruction_following,technology,easy,10,0,0,no
instruction_following,technology,medium,10,0,0,no
instruction_following,technology,hard,10,0,0,no
instruction_following,sports,easy,10,0,0,no
instruction_following,sports,medium,10,0,0,no
instruction_following,sports,hard,10,0,0,no
instruction_following,health_medicine,easy,10,0,0,no
instruction_following,health_medicine,medium,10,0,0,no
instruction_following,health_medicine,hard,10,0,0,no
instruction_following,science_nature,easy,10,0,0,no
instruction_following,science_nature,medium,10,0,0,no
instruction_following,science_nature,hard,10,0,0,no
instruction_following,history,easy,10,0,0,no
instruction_following,history,medium,10,0,0,no
instruction_following,history,hard,10,0,0,no
instruction_following,business_finance,easy,10,0,0,no
instruction_following,business_finance,medium,10,0,0,no
instruction_following,business_finance,hard,10,0,0,no
instruction_following,law_civic,easy,10,0,0,no
instruction_following,law_civic,medium,10,0,0,no
instruction_following,law_civic,hard,10,0,0,no
instruction_following,education,easy,10,0,0,no
instruction_following,education,medium,10,0,0,no
instruction_following,education,hard,10,0,0,no
instruction_following,environment_climate,easy,10,0,0,no
instruction_following,environment_climate,medium,10,0,0,no
instruction_following,environment_climate,hard,10,0,0,no
instruction_following,travel_tourism,easy,10,0,0,no
instruction_following,travel_tourism,medium,10,0,0,no
instruction_following,travel_tourism,hard,10,0,0,no
instruction_following,food_cuisine,easy,10,0,0,no
instruction_following,food_cuisine,medium,10,0,0,no
instruction_following,food_cuisine,hard,10,0,0,no
instruction_following,arts_literature,easy,10,0,0,no
instruction_following,arts_literature,medium,10,0,0,no
instruction_following,arts_literature,hard,10,0,0,no
instruction_following,music_entertainment,easy,10,0,0,no
instruction_following,music_entertainment,medium,10,0,0,no
instruction_following,music_entertainment,hard,10,0,0,no
instruction_following,family_relationships,easy,10,0,0,no
instruction_following,family_relationships,medium,10,0,0,no
instruction_following,family_relationships,hard,10,0,0,no
instruction_following,workplace_career,easy,10,0,0,no
instruction_following,workplace_career,medium,10,0,0,no
instruction_following,workplace_career,hard,10,0,0,no
instruction_following,transportation,easy,10,0,0,no
instruction_following,transportation,medium,10,0,0,no
instruction_following,transportation,hard,10,0,0,no
instruction_following,shopping_consumer,easy,10,0,0,no
instruction_following,shopping_consumer,medium,10,0,0,no
instruction_following,shopping_consumer,hard,10,0,0,no
instruction_following,hobbies_crafts,easy,10,0,0,no
instruction_following,hobbies_crafts,medium,10,0,0,no
instruction_following,hobbies_crafts,hard,10,0,0,no
instruction_following,social_media_internet,easy,10,0,0,no
instruction_following,social_media_internet,medium,10,0,0,no
instruction_following,social_media_internet,hard,10,0,0,no
qa,daily_life,easy,10,0,0,no
qa,daily_life,medium,10,0,0,no
qa,daily_life,hard,10,0,0,yes
qa,technology,easy,10,0,0,no
qa,technology,medium,10,0,0,no
qa,technology,hard,10,0,0,yes
qa,sports,easy,10,0,0,no
qa,sports,medium,10,0,0,no
qa,sports,hard,10,0,0,yes
qa,health_medicine,easy,10,0,0,no
qa,health_medicine,medium,10,0,0,no
qa,health_medicine,hard,10,0,0,yes
qa,science_nature,easy,10,0,0,no
qa,science_nature,medium,10,0,0,no
qa,science_nature,hard,10,0,0,yes
qa,history,easy,10,0,0,no
qa,history,medium,10,0,0,no
qa,history,hard,10,0,0,yes
qa,business_finance,easy,10,0,0,no
qa,business_finance,medium,10,0,0,no
qa,business_finance,hard,10,0,0,yes
qa,law_civic,easy,10,0,0,no
qa,law_civic,medium,10,0,0,no
qa,law_civic,hard,10,0,0,yes
qa,education,easy,10,0,0,no
qa,education,medium,10,0,0,no
qa,education,hard,10,0,0,yes
qa,environment_climate,easy,10,0,0,no
qa,environment_climate,medium,10,0,0,no
qa,environment_climate,hard,10,0,0,yes
qa,travel_tourism,easy,10,0,0,no
qa,travel_tourism,medium,10,0,0,no
qa,travel_tourism,hard,10,0,0,yes
qa,food_cuisine,easy,10,0,0,no
qa,food_cuisine,medium,10,0,0,no
qa,food_cuisine,hard,10,0,0,yes
qa,arts_literature,easy,10,0,0,no
qa,arts_literature,medium,10,0,0,no
qa,arts_literature,hard,10,0,0,yes
qa,music_entertainment,easy,10,0,0,no
qa,music_entertainment,medium,10,0,0,no
qa,music_entertainment,hard,10,0,0,yes
qa,family_relationships,easy,10,0,0,no
