Filesystem                   Size  Used Avail Use% Mounted on
overlay                       20G  7.9G   13G  40% /
tmpfs                         64M     0   64M   0% /dev
shm                           29G  4.0K   29G   1% /dev/shm
/dev/nvme0n1p2               1.8T   33G  1.6T   2% /usr/bin/nvidia-smi
tmpfs                        252G     0  252G   0% /sys/fs/cgroup
tmpfs                         51G   33M   51G   1% /run/nvidia-persistenced/socket
mfs#us-nc-1.runpod.net:9421  1.2P  907T  295T  76% /workspace
/dev/md127                    14T  4.2T  9.9T  30% /etc/hosts
tmpfs                        4.0K  4.0K     0 100% /run/nvidia-ctk-hookce726896-e899-474b-841e-0fcd008faef8
tmpfs                        252G     0  252G   0% /proc/acpi
tmpfs                        252G     0  252G   0% /proc/asound
tmpfs                        252G     0  252G   0% /proc/scsi
tmpfs                        252G     0  252G   0% /sys/devices/virtual/powercap
tmpfs                        252G     0  252G   0% /sys/firmware
