id,split,training_eligible,exclusion_reason,source,source_id,category,input_text,target_text,part_of_speech,variants,quality_status
wiktionary-00001,train,true,,wiktionary,1,lexicon,А,"The first letter of the Adyghe alphabet, written in the Cyrillic script.",character,А | а,accepted
wiktionary-00002,train,true,,wiktionary,2,lexicon,Адыгэ,Adygea (a republic of south-west Russia),name,Адыгэ,accepted
wiktionary-00003,train,true,,wiktionary,3,lexicon,Адэм,Adam (name),name,Адэм | Адэмэхэкӏэ | Адэмэхэ | Адэмэхэмэ | Адэмэм | Адэмэр | Адэмэхэр | Адэмэхэм | Адэмыу | Адэмэхыу | Адэмэкӏэ | Адэмэ,accepted
wiktionary-00004,train,true,,wiktionary,4,lexicon,Алахь,Allah,name,Алахь | Алахьэм | Алахьэхэр | Алахьэ | Алахьыу | Алахьэхэ | Алахьэхэм | Алахьэхыу | Алахьэхэкӏэ | Алахьэкӏэ | Алахьэр | Алахьэхэмэ,accepted
wiktionary-00005,train,true,,wiktionary,5,lexicon,Амыщ,"Amesh : Initially god of fauna, then god of sheep.",name,Амыщ | Амыщхэр | Амыщхыу | Амыщхэм | Амыщм | Амыщкӏэ | Амыщмкӏэ | Амыщхэмэ | Амыщу | Амыщр | Амыщхэкӏэ,accepted
wiktionary-00006,train,true,,wiktionary,6,lexicon,Аушыджэр,"Awishijer, Awischjerjiy, Dawischjerjiy : God of courage and bravery.",name,Аушыджэр | Аушыджэрхэм | Аушыджэру | Аушыджэрм | Аушыджэрхэкӏэ | Аушыджэркӏэ | Аушыджэрр | Аушыджэрхыу | Аушыджэрхэр | Аушыджэрхэмэ,accepted
wiktionary-00007,excluded_benchmark_overlap,false,exact_normalized_input_target_or_variant_overlap_with_benchmark,wiktionary,7,lexicon,Афы,Afe: the pagan Circassian god of thunder,name,Афы | Афыу | Афым | Афыхэм | Афыхэр | Афыр | Афыкӏэ | Афыхэкӏэ | Афыхыу | Афыхэмэ,accepted
wiktionary-00008,validation,true,,wiktionary,8,lexicon,Ахын,Akhen (Circassian (pagan) god of cattle),name,Ахын | Ахынэхэм | Ахынэм | Ахынэхыу | Ахынэр | Ахынэкӏэ | Ахыныу | Ахынэ | Ахынэхэ | Ахынэхэмэ | Ахынэхэр | Ахынэхэкӏэ,accepted
wiktionary-00009,train,true,,wiktionary,9,lexicon,Бытырбыф,Saint Petersburg (a city in Russia),name,Бытырбыф,accepted
wiktionary-00010,train,true,,wiktionary,10,lexicon,Бэдзэогъу,July,name,Бэдзэогъу,accepted
wiktionary-00011,train,true,,wiktionary,11,lexicon,Даут,David (name),name,Даут,accepted
wiktionary-00012,train,true,,wiktionary,12,lexicon,Джантый,Janty (name),name,Джантый,accepted
wiktionary-00013,train,true,,wiktionary,13,lexicon,Джэдыпэ,Jedipe: God of rivers and seas (literally: ‘hen’s beak’).,name,Джэдыпэ | Джэдыпэхэмэ | Джэдыпэхыу | Джэдыпэхэ | Джэдыпэм | Джэдыпэр | Джэдыпэкӏэ | Джэдыпэхэм | Джэдыпэхэкӏэ | Джэдыпэу | Джэдыпэхэр,accepted
wiktionary-00014,train,true,,wiktionary,14,lexicon,Жьытхьэ,Zhitha: God of wind.,name,Жьытхьэ | Жьытхьэкӏэ | Жьытхьэр | Жьытхьэхэ | Жьытхьэхэм | Жьытхьэхыу | Жьытхьэм | Жьытхьэхэкӏэ | Жьытхьэу | Жьытхьэхэмэ | Жьытхьэхэр,accepted
wiktionary-00015,train,true,,wiktionary,15,lexicon,Зэчэрые,Zakaria (name),name,Зэчэрые,accepted
wiktionary-00016,train,true,,wiktionary,16,lexicon,Ибрахьим,Abraham (name),name,Ибрахьим | Ибрахьимэм | Ибрахьимыу | Ибрахьимэхыу | Ибрахьимэхэ | Ибрахьимэхэмэ | Ибрахьимэхэм | Ибрахьимэкӏэ | Ибрахьимэр | Ибрахьимэхэкӏэ | Ибрахьимэхэр | Ибрахьимэ,accepted
wiktionary-00017,test,true,,wiktionary,17,lexicon,Исхьэкъ,Isaac (name),name,Исхьэкъ | Исхьэкъэхэм | Исхьэкъыу | Исхьэкъэхэмэ | Исхьэкъэхэкӏэ | Исхьэкъэкӏэ | Исхьэкъэхэ | Исхьэкъэхыу | Исхьэкъэхэр | Исхьэкъэр | Исхьэкъэ | Исхьэкъэм,accepted
