id,messages,category,answer_type,domain,language,source,source_id,generator,generation_prompt_version,reviewer,quality_status,rejection_reason,bareness_check_passed,dedup_cluster_id,contamination_checked,contamination_flag,license,split,created_at,notes
bare_gec__001,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Bu gün apartmanın girişindeki sensör gece boyunca üç kez gereksiz yere yandı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Bugün apartmanın girişindeki sensör gece boyunca üç kez gereksiz yere yandı.""}]",bare_gec,,daily_life,tr,synthetic,,gpt-5,v2,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_gec__002,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Biyologlar işaretlenen kuşların ilkbaharda aynı sulak alana döndüğünü gözlemlediler; gerekli materyeli dolaba yerleştirdi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Biyologlar işaretlenen kuşların ilkbaharda aynı sulak alana döndüğünü gözlemlediler; gerekli materyali dolaba yerleştirdi.""}]",bare_gec,,science,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__003,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Okul yönetimi servis saatlerini velilerden gelen geri bildirimlere göre değiştirdi, fakat hiç bir soru yanıtsız kalmadı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Okul yönetimi servis saatlerini velilerden gelen geri bildirimlere göre değiştirdi, fakat hiçbir soru yanıtsız kalmadı.""}]",bare_gec,,education,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__004,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Kargo görevlisi adreste kimseyi bulamayınca paketi yakındaki şubeye bıraktı; ayrıca bir çok detay gözden geçirildi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Kargo görevlisi adreste kimseyi bulamayınca paketi yakındaki şubeye bıraktı; ayrıca birçok detay gözden geçirildi.""}]",bare_gec,,daily_life,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__005,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Müzedeki harita, sınırların yirmi yıl içinde nasıl değiştiğini açıkça gösteriyor, ancak bu durum kimse için süpriz olmadı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Müzedeki harita, sınırların yirmi yıl içinde nasıl değiştiğini açıkça gösteriyor, ancak bu durum kimse için sürpriz olmadı.""}]",bare_gec,,history,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__006,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Maç yağmur yüzünden durduğunda saha görevlileri zemindeki suyu temizledi; orjinal belge dosyaya eklendi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Maç yağmur yüzünden durduğunda saha görevlileri zemindeki suyu temizledi; orijinal belge dosyaya eklendi.""}]",bare_gec,,sports,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__007,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Deneysel özellik sadece test grubundaki hesaplar için görünür hâle getirildi ve sonunda herşey açıklığa kavuştu.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Deneysel özellik sadece test grubundaki hesaplar için görünür hâle getirildi ve sonunda her şey açıklığa kavuştu.""}]",bare_gec,,technology,tr,synthetic,,gpt-5,v2,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_gec__008,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Yeni kampanya küçük şehirlerde beklenenden daha yüksek dönüşüm sağladı; yalnış veri hemen düzeltildi.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Yeni kampanya küçük şehirlerde beklenenden daha yüksek dönüşüm sağladı; yanlış veri hemen düzeltildi.""}]",bare_gec,,business,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__009,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Şehir turu öğleden sonraya alınınca sabah için serbest zaman oluştu; proğram akşama kadar tamamlandı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Şehir turu öğleden sonraya alınınca sabah için serbest zaman oluştu; program akşama kadar tamamlandı.""}]",bare_gec,,travel,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
bare_gec__010,"[{""role"": ""user"", ""content"": ""Verilen cümlenin yazım hatalarını düzeltin.\nHatalı Cümle: Sabah baş ağrısıyla uyanan Ece bol su içtikten sonra kendini daha iyi hissetti; yanlız sonuç henüz açıklanmadı.\nDüzeltilmiş hali:""}, {""role"": ""assistant"", ""content"": ""Sabah baş ağrısıyla uyanan Ece bol su içtikten sonra kendini daha iyi hissetti; yalnız sonuç henüz açıklanmadı.""}]",bare_gec,,health,tr,synthetic,,gpt-5,v3,,,,,,,,project-internal-draft,,2026-09-14T00:00:00Z,tail boilerplate diversified in post-review fix pass
