id,messages,category,answer_type,domain,language,source,source_id,generator,generation_prompt_version,reviewer,quality_status,rejection_reason,bareness_check_passed,dedup_cluster_id,contamination_checked,contamination_flag,license,split,created_at,notes
bare_qa_span__001,"[{""role"": ""user"", ""content"": ""Kaynak: Kahve dükkanını açan esnaf olarak bilinen Ayşe Kaya, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Kahve dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Ayşe Kaya""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__002,"[{""role"": ""user"", ""content"": ""Kaynak: Mehmet Sarı, bakkal dükkanını açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Bakkal dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Mehmet Sarı""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__003,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Elif Demir, çiçekçi dükkanını açmıştır.\n\nSoru: Çiçekçi dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Elif Demir""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__004,"[{""role"": ""user"", ""content"": ""Kaynak: Tamirhaneyi açan esnaf olarak bilinen Burak Yıldız, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Tamirhaneyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Burak Yıldız""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__005,"[{""role"": ""user"", ""content"": ""Kaynak: Zeynep Aydın, terzi atölyesini açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Terzi atölyesini kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Zeynep Aydın""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__006,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Cem Öztürk, kırtasiyeyi açmıştır.\n\nSoru: Kırtasiyeyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Cem Öztürk""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__007,"[{""role"": ""user"", ""content"": ""Kaynak: Pastaneyi açan esnaf olarak bilinen Selin Aksoy, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Pastaneyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Selin Aksoy""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__008,"[{""role"": ""user"", ""content"": ""Kaynak: Hakan Çelik, berber dükkanını açmıştır ve bu başarısıyla alanında öne çıkan bir esnaf haline gelmiştir.\n\nSoru: Berber dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Hakan Çelik""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__009,"[{""role"": ""user"", ""content"": ""Kaynak: Alanındaki çalışmalarıyla tanınan Derya Aksu, kuru temizlemeciyi açmıştır.\n\nSoru: Kuru temizlemeciyi kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Derya Aksu""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
bare_qa_span__010,"[{""role"": ""user"", ""content"": ""Kaynak: Oyuncakçı dükkanını açan esnaf olarak bilinen Onur Bilgin, alanında kalıcı bir etki bırakmıştır.\n\nSoru: Oyuncakçı dükkanını kim açmıştır?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Onur Bilgin""}]",bare_qa_span,name,daily_life,tr,synthetic,,claude-sonnet-5,v2,,needs_review,,,,pending,,project-internal-draft,,2026-09-14T00:00:00Z,
