id,messages,category,answer_type,domain,language,source,source_id,generator,generation_prompt_version,reviewer,quality_status,rejection_reason,bareness_check_passed,dedup_cluster_id,contamination_checked,contamination_flag,license,split,created_at,notes
numeric_entity_precision_qa__001,"[{""role"": ""user"", ""content"": ""Kaynak: Tahlil ücreti bedeli Aile Hekimliği Merkezi tarafından Bursa'da 350 TL olarak duyurulurken, muayene ücreti için 250 TL uygulanacak. Yeni düzenleme hasta yoğunluğuna göre planlandı.\n\nSoru: Aşağıdaki metne göre, muayene ücreti için belirlenen ücret kaç TL'dir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""250 TL""}]",numeric_entity_precision_qa,number_or_quantity,health,tr,synthetic,numeric_entity_precision_qa__001,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: money: two comparable prices for two items/services of the same entity | second-pass repeated-pattern repair | accepted after review-saturation decision
numeric_entity_precision_qa__002,"[{""role"": ""user"", ""content"": ""Kaynak: Restorasyon Ekibi tarafından Diyarbakır'da yayımlanan raporda ziyaretçi artış oranı yüzde 85, restorasyon tamamlanma oranı ise yüzde 24 olarak kaydedildi. Çalışma, eski fotoğraflarla teyit edildi.\n\nSoru: Aşağıdaki metne göre, restorasyon tamamlanma oranı yüzde kaç olarak kaydedildi?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""yüzde 24""}]",numeric_entity_precision_qa,number_or_quantity,history,tr,synthetic,numeric_entity_precision_qa__002,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: percentage: two comparable rates in the same report | accepted after review-saturation decision
numeric_entity_precision_qa__003,"[{""role"": ""user"", ""content"": ""Kaynak: Bölge Ulaştırma Müdürlüğü, Adana'da yeni sezon turu için 18 Mayıs tarihini belirledi. Erken rezervasyon kampanyası son tarihi ise 26 Mart tarihinde gerçekleştirilecek. Plan, geçen sezonun verileriyle karşılaştırıldı.\n\nSoru: Aşağıdaki metne göre, erken rezervasyon kampanyası son tarihi hangi tarihte gerçekleştirilecek?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""26 Mart""}]",numeric_entity_precision_qa,date_time_or_duration,travel,tr,synthetic,numeric_entity_precision_qa__003,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: date: two distinct dates for two related events of the same entity | accepted after review-saturation decision
numeric_entity_precision_qa__004,"[{""role"": ""user"", ""content"": ""Kaynak: Rüzgar Enerji Santrali İşletmesi tarafından İstanbul'da tanıtılan Bayi Yönetim Aracı kurumsal müşterilere açıldı. Lojistik Takip Sistemi ise fiyat güncellemesi aldı. Değişiklik, tedarik zincirindeki güncellemeden kaynaklandı.\n\nSoru: Aşağıdaki metne göre, 'fiyat güncellemesi aldı' hangi ürün için geçerli?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Lojistik Takip Sistemi""}]",numeric_entity_precision_qa,named_entity,business,tr,synthetic,numeric_entity_precision_qa__004,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,"same-type distractor: named entity: two named products of the same entity, only one matches the asked property | second-pass repeated-pattern repair | accepted after review-saturation decision"
numeric_entity_precision_qa__006,"[{""role"": ""user"", ""content"": ""Kaynak: Mesleki Eğitim Merkezi, Ordu'da yeni bir burs programı başlattı. Üniversite Kayıt Bürosu ise aynı dönemde uzaktan eğitim altyapısını genişletti. Bilgi, veli toplantısında paylaşıldı.\n\nSoru: Aşağıdaki metne göre, 'yeni bir burs programı başlattı' eylemini hangi kurum gerçekleştirdi?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Mesleki Eğitim Merkezi""}]",numeric_entity_precision_qa,person_or_organization,education,tr,synthetic,numeric_entity_precision_qa__006,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,"same-type distractor: organization: two named organizations, only one performed the asked action | accepted after review-saturation decision"
numeric_entity_precision_qa__007,"[{""role"": ""user"", ""content"": ""Kaynak: Bölge Ulaştırma Müdürlüğü tarafından Malatya'da tanıtılan Konaklama Paketi yeni sezon kataloğuna eklendi. Ulaşım Kart Uygulaması ise erken rezervasyon kapsamına alındı. Değişiklik, rehber ekibinin önerisiyle şekillendi.\n\nSoru: Aşağıdaki metne göre, 'yeni sezon kataloğuna eklendi' hangi ürün için geçerli?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Konaklama Paketi""}]",numeric_entity_precision_qa,named_entity,travel,tr,synthetic,numeric_entity_precision_qa__007,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,"same-type distractor: named entity: two named products of the same entity, only one matches the asked property | second-pass repeated-pattern repair | accepted after review-saturation decision"
numeric_entity_precision_qa__008,"[{""role"": ""user"", ""content"": ""Kaynak: Semt Pazarı Yönetimi, Kütahya'da yürütülen sürecin temizlik aşamasının 12 hafta süreceğini açıkladı. Boyama aşaması ise 5 hafta sürecek. Yeni düzenleme önümüzdeki fatura döneminde geçerli olacak.\n\nSoru: Aşağıdaki metne göre, boyama aşaması kaç hafta sürecek?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""5 hafta""}]",numeric_entity_precision_qa,date_time_or_duration,daily_life,tr,synthetic,numeric_entity_precision_qa__008,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: duration: two distinct phase durations of the same process | accepted after review-saturation decision
numeric_entity_precision_qa__009,"[{""role"": ""user"", ""content"": ""Kaynak: Vakıflar Bölge Müdürlüğü, Malatya'da yürütülen sürecin belgeleme aşamasının 2 ay süreceğini açıkladı. Restorasyon aşaması ise 4 ay sürecek. Süreç, koruma kurulu onayının ardından başladı.\n\nSoru: Aşağıdaki metne göre, belgeleme aşaması kaç ay sürecek?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""2 ay""}]",numeric_entity_precision_qa,date_time_or_duration,history,tr,synthetic,numeric_entity_precision_qa__009,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: duration: two distinct phase durations of the same process | accepted after review-saturation decision
numeric_entity_precision_qa__010,"[{""role"": ""user"", ""content"": ""Kaynak: Rüzgar Atletizm Kulübü, Sivas'ta sezon açılış maçı için 24 Eylül tarihini belirledi. Transfer dönemi kapanışı ise 10 Ağustos tarihinde gerçekleştirilecek. Değişiklik, antrenman planına göre yapıldı.\n\nSoru: Aşağıdaki metne göre, transfer dönemi kapanışı hangi tarihte gerçekleştirilecek?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""10 Ağustos""}]",numeric_entity_precision_qa,date_time_or_duration,sports,tr,synthetic,numeric_entity_precision_qa__010,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: date: two distinct dates for two related events of the same entity | accepted after review-saturation decision
numeric_entity_precision_qa__011,"[{""role"": ""user"", ""content"": ""Kaynak: Aile Hekimliği Merkezi, Isparta'da yürütülen sürecin tarama aşamasının 3 gün süreceğini açıkladı. Değerlendirme aşaması ise 10 gün sürecek. Yeni düzenleme hasta yoğunluğuna göre planlandı.\n\nSoru: Aşağıdaki metne göre, tarama aşaması kaç gün sürecek?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""3 gün""}]",numeric_entity_precision_qa,date_time_or_duration,health,tr,synthetic,numeric_entity_precision_qa__011,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: duration: two distinct phase durations of the same process | accepted after review-saturation decision
numeric_entity_precision_qa__012,"[{""role"": ""user"", ""content"": ""Kaynak: Fen Lisesi Müdürlüğü, Gaziantep'te kayıt son tarihi için 22 Haziran tarihini belirledi. Ara sınav dönemi ise 8 Temmuz tarihinde gerçekleştirilecek. Karar, sınıf mevcutlarına göre alındı.\n\nSoru: Aşağıdaki metne göre, kayıt son tarihi için belirlenen tarih nedir?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""22 Haziran""}]",numeric_entity_precision_qa,date_time_or_duration,education,tr,synthetic,numeric_entity_precision_qa__012,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: date: two distinct dates for two related events of the same entity | accepted after review-saturation decision
numeric_entity_precision_qa__013,"[{""role"": ""user"", ""content"": ""Kaynak: Restorasyon Ekibi, Adana'da düzenlenen etkinlikte günlük ziyaretçi sayısının 14 kişi, rehberli tur katılımcısı sayısının ise 175 kişi olduğunu bildirdi. Çalışma, eski fotoğraflarla teyit edildi.\n\nSoru: Aşağıdaki metne göre, rehberli tur katılımcısı sayısı kaç kişi olarak bildirildi?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""175 kişi""}]",numeric_entity_precision_qa,number_or_quantity,history,tr,synthetic,numeric_entity_precision_qa__013,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: count: two comparable counts from the same event | accepted after review-saturation decision
numeric_entity_precision_qa__014,"[{""role"": ""user"", ""content"": ""Kaynak: Yer Bilimleri Ekibi, Bursa'da düzenlenen etkinlikte toplanan örnek sayısının 220 adet, incelenen numune sayısının ise 110 adet olduğunu bildirdi. Ölçümler, sabit laboratuvar koşullarında tekrarlandı.\n\nSoru: Aşağıdaki metne göre, incelenen numune sayısı kaç adet olarak bildirildi?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""110 adet""}]",numeric_entity_precision_qa,number_or_quantity,science,tr,synthetic,numeric_entity_precision_qa__014,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,same-type distractor: count: two comparable counts from the same event | accepted after review-saturation decision
numeric_entity_precision_qa__015,"[{""role"": ""user"", ""content"": ""Kaynak: İl Spor Federasyonu tarafından Antalya'da tanıtılan Sağlık Tarama Modülü ürünü kulüplerle paylaşıldı. Performans Takip Uygulaması ürünü ise milli takıma entegre edildi.\n\nSoru: Aşağıdaki metne göre, 'kulüplerle paylaşıldı' hangi ürün için geçerli?\n\nCevap:""}, {""role"": ""assistant"", ""content"": ""Sağlık Tarama Modülü""}]",numeric_entity_precision_qa,named_entity,sports,tr,synthetic,numeric_entity_precision_qa__015,claude-sonnet-5,numeric-entity-precision-v2,cbark,accepted,,,,pending,pending,project-internal-draft,,2026-09-15T00:00:00Z,"same-type distractor: named entity: two named products of the same entity, only one matches the asked property | argilla-v1 review repair"
